REVIEW_INDEX,REVIEW_DATE,REVIEW_RATING,REVIEW_TITLE,REVIEW_BODY,DATE_OF_EXPERIENCE,TRIP_TYPE,REVIEW_CRAWLED_TIME,REVIEWER_NAME,HOME_COUNTRY,ATTRACTION_NAME,ATTRACTION_TYPE,ADDRESS,clean_text
612225677,2018-08-30 00:00:00.000,5,beautiful view and good place,Beautiful place and view. The platter was good and was full just by having that. It is a nice place to bring ur loved ones to on a special place. Scenic view and at night with all the lights and the cable car view was very nice. There was a outdoor n indoor place.,2018-08-01 00:00:00.000,Couples,2020-01-31 10:22:21.420,Pavitra C,Singapore,Mount Faber,Leisure & Recreation,"109 Mount Faber Road Faber Peak | Faber Peak, Singapore 099203, Singapore",beautiful place view platter good full nice place bring ur love one special place scenic view night light cable car view nice outdoor n indoor place
729907358,2019-12-01 00:00:00.000,4,The Battlebox Singapore,Informative guide with in depth historical knowledge concerning WW11 and surrender of Singapore to the Japanese. Recommend a visit for all ages.,2019-10-01 00:00:00.000,Couples,2020-01-30 04:34:26.991,chia01,Australia,Battlebox,"Art, History & Culture","2 Cox Terrace | Fort Canning Park, Singapore 179622, Singapore",informative guide depth historical knowledge concern ww surrender singapore japanese recommend visit age
649892826,2019-02-03 00:00:00.000,5,World Famous Zoo,One of the best zoo in the world. Plenty of animals and fun for the kids. Remember to bring along your sunscreen.,2018-11-01 00:00:00.000,Family,2020-01-26 11:35:11.136,JerrickAng,Singapore,Singapore Zoo,Nature & Wildlife,"80 Mandai Lake Road, Singapore 729826, Singapore",one best zoo world plenty animal fun kid remember bring along sunscreen
432852444,2016-10-30 00:00:00.000,5,Favourite place to relax in Singapore!!,"Do yourself a favour and be sure to visit. This is such a great place to get your casual gear on and go for a walk or run in the gardens. Beautiful place that is well maintained and offers such a break from the hustle and bustle through of the city._x000D_
Best in the morning when it is cooler and before the sting of the sun is felt._x000D_
Take plenty of water and enjoy.",2016-10-01 00:00:00.000,Family,2020-01-26 10:00:46.975,cleghd1,Singapore,Singapore Botanic Gardens,Leisure & Recreation,"1 Cluny Road, Singapore 259 569, Singapore",favour sure visit great place get casual gear go walk run garden beautiful place well maintain offer break hustle bustle cityxd best morning cooler sting sun feltxd take plenty water enjoy
389464275,2016-07-05 00:00:00.000,5,Family fun at the Zoo,"If you plan to visit Singapore with family esp young children then u can't afford to miss this._x000D_
Plenty of beautiful animals and birds to look at and interact with._x000D_
Lots of walking to be done so make sure u start early. Show timings can be read from the brochure and are not to be missed. Club the zoo with Amazon safari including a boat ride and it's a full day in itself._x000D_
Guided tours are also available if u need some inside info on things but obviously the price goes up._x000D_
In all a splendour not to be missed.",2016-03-01 00:00:00.000,Family,2020-01-26 12:19:14.359,AmitabhTrehan,India,Singapore Zoo,Nature & Wildlife,"80 Mandai Lake Road, Singapore 729826, Singapore",plan visit singapore family esp young child u can not afford miss thisxd plenty beautiful animal bird look interact withxd lot walk do make sure u start early show timing read brochure not miss club zoo amazon safari include boat ride full day itselfxd guide tour also available u need inside info thing obviously price go upxd splendour not miss
485487135,2017-05-19 00:00:00.000,5,Amazing,"Just go there, you won't be disappointed! I came away with hundreds of amazing photos on my phone. Go to both of the domes as they are each unique.",2017-05-01 00:00:00.000,Friends,2020-01-25 20:34:12.653,KarenMBunburyWA,Australia,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",go not disappointed come away hundred amaze photo phone go dome unique
580846358,2018-05-17 00:00:00.000,5,Amazing,What a beautiful place to visit. When we went it was very quiet and plenty to see. The variety of orchids on display are outstanding a photographers paradise. Highly recommended if you like orchids or brightly coloured flowers. Really good value for money to see such wonderful natural displays.,2018-05-01 00:00:00.000,Couples,2020-01-29 10:46:25.487,saturnstan,United Kingdom,National Orchid Garden,Leisure & Recreation,"1 Cluny Rd | Within the Singapore Botanic Gardens, Singapore 259569, Singapore",beautiful place visit go quiet plenty see variety orchid display outstanding photographer paradise highly recommend like orchid brightly colour flower really good value money see wonderful natural display
672751344,2019-05-09 00:00:00.000,4,Nice escape from the city,The botanical gardens an the Orchid garden are great if you want to spend some relaxing time away from the busy city.,2019-04-01 00:00:00.000,Friends,2020-01-29 11:20:13.209,CCLGRS,Belgium,National Orchid Garden,Leisure & Recreation,"1 Cluny Rd | Within the Singapore Botanic Gardens, Singapore 259569, Singapore",botanical garden orchid garden great want spend relax time away busy city
655332619,2019-02-28 00:00:00.000,5,Tranquil exotic beauty,Just exquisite. We spent a very peaceful 45 minutes exploring the beautiful gardens. The variety of orchids and their setting were breathtaking.,2019-02-01 00:00:00.000,Friends,2020-01-26 11:13:09.683,karenpH9128YQ,Singapore,Singapore Botanic Gardens,Leisure & Recreation,"1 Cluny Road, Singapore 259 569, Singapore",exquisite spent peaceful minute explore beautiful garden variety orchid set breathtaking
379807752,2016-06-05 00:00:00.000,5,Garden Landmark of Singapore!,Friends call it the lighted trees and I know they are referring to the supertrees that are solar panels in the day and lights up in the night! Gorgeous and beautiful area. I love that the outdoor area is free without charges and the 2 domes that require entrance fees are constantly having new seasonal plants that makes it all so interesting to visit.,2015-12-01 00:00:00.000,Friends,2020-01-25 20:53:46.684,phoonies,Singapore,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",friend call light tree know refer supertrees solar panel day light night gorgeous beautiful area love outdoor area free without charge dome require entrance fee constantly new seasonal plant make interest visit
642205002,2018-12-29 00:00:00.000,3,Worth to visit ..,My visit was very quick .. the area was crowded .. however .. it is worth to visit .. worth to go and see the area ..,2018-12-01 00:00:00.000,Family,2020-01-30 01:35:08.016,Rashed A,United Arab Emirates,Merlion Park,"Art, History & Culture","1 Fullerton Road One Fullerton | Merlion Park, Singapore 049213, Singapore",visit quick area crowd however worth visit worth go see area
666161239,2019-04-14 00:00:00.000,4,Need to put out a bird spotting book,"Buy the tram ticket at the gate unless you are able bodied and enjoy hills._x000D_
Get in on opening up to the Lory enclosure to feed nectar in the monster aviary and plan on spending a lot of time in the waterfall aviary spotting the birds._x000D_
Great half day out which could easily be a full one for bird enthusiasts._x000D_
If you require sustenance avoid the curry gardenn -itâ€™s not very clean, lacklustre service and watered down flavours",2019-04-01 00:00:00.000,Friends,2020-01-29 18:00:11.956,Luvinspoonful,New Zealand,Jurong Bird Park,Nature & Wildlife,"2 Jurong Hill Jurong Bird Park, Singapore 628925, Singapore",buy tram ticket gate unless able body enjoy hillsxd get opening lory enclosure feed nectar monster aviary plan spending lot time waterfall aviary spot birdsxd great half day could easily full one bird enthusiastsxd require sustenance avoid curry gardenn itatms not clean lacklustre service water flavour
456003401,2017-01-31 00:00:00.000,4,"Impressive , however just another Shopping Street !","Well it's big , famous brand stores and malls everywhere , endless Chinese in shoppers paradise ... it's definitely cheaper than everywhere else but still expensive if your on a budget ... money no object then a shopaholics paradise ! Many U.K. Brands M&S for example ! Lots of eateries to keep you going ! Enjoy !",2016-12-01 00:00:00.000,Family,2020-01-30 02:33:47.684,davidgary8,China,Orchard Road,Precinct & Street,"Singapore, Singapore",well big famous brand store mall everywhere endless chinese shopper paradise definitely cheaper everywhere else still expensive budget money object shopaholic paradise many uk brand example lot eatery keep go enjoy
590761093,2018-06-26 00:00:00.000,5,A zoo but not a zoo!,"If like me you are not a lover of zoos, imagining stressed and pacing animals behind bars, then you will be amazed and pleasantly surprised when you visit Singapore Zoo! The animals are where possible free ranging and where some security is necessary for safety reasons it is provided in a natural way eg using water or steep banks. All the animals looked at ease in their environments which were as natural as the wild. I would highly recommend this zoo",2018-06-01 00:00:00.000,Couples,2020-01-26 12:36:23.552,HilaryMS,Spain,Singapore Zoo,Nature & Wildlife,"80 Mandai Lake Road, Singapore 729826, Singapore",like not lover zoo imagine stress pace animal behind bar amaze pleasantly surprised visit singapore zoo animal possible free range security necessary safety reason provide natural way eg use water steep bank animal look ease environment natural wild would highly recommend zoo
379240683,2016-06-03 00:00:00.000,5,The best part of Garden by the Bay,You can see all varieties of plants and flowers from all over the world. All under one roof. You cant imagine the variety of tulips and cactus. One can actually spend more than half a day in the dome. You should buy the combo tickets for Flower dome and Cloud forest.,2016-05-01 00:00:00.000,Family,2020-01-30 00:41:29.891,TMBom,India,Flower Dome,Leisure & Recreation,"18 Marina Gardens Drive Gardens By the Bay, Singapore 018953, Singapore",see variety plant flower world one roof cant imagine variety tulip cactus one actually spend half day dome buy combo ticket flower dome cloud forest
409084376,2016-08-23 00:00:00.000,5,magic night,We took the Night safari tour. Despite the initial crowds it was so well organised and its the credit to all staff who work hard to make it a success.,2016-08-01 00:00:00.000,Family,2020-01-30 15:09:01.040,valjeanery,Australia,Night Safari,Nature & Wildlife,"80 Mandai Lake Road, Singapore 729826, Singapore",take night safari tour despite initial crowd well organise credit staff work hard make success
409095922,2016-08-23 00:00:00.000,5,Vibrant Night Life,"Clark Quay runs along the Singapore River, where you can find clubs, restaurants, pubs, shisha places ... The night view is beautiful.",2016-06-01 00:00:00.000,Solo,2020-01-30 01:27:26.002,AmberZhang,Singapore,Clarke Quay,Precinct & Street,"3 River Valley Road Clarke Quay | Nearest Train Stattion: NE5 Clarke Quay MRT and DT20 Fort Canning Station, Singapore 179019, Singapore",clark quay run along singapore river find club restaurant pub shisha place night view beautiful
473296594,2017-04-07 00:00:00.000,5,Amazing Place to Display Art,These restored buildings could rival any of the museums around the world. I had a very informative free tour with Ms Liling about the history of the two buildings and its restoration. Highly recommended!,2017-04-01 00:00:00.000,Solo,2020-01-30 13:14:57.506,Jhun7993,Philippines,National Gallery Singapore,"Art, History & Culture","1 St. Andrew's Road #01-01 National Gallery Singapore, Singapore 178957, Singapore",restore building could rival museum around world informative free tour m liling history two building restoration highly recommend
464014061,2017-03-02 00:00:00.000,4,Fantastic views,Great views and a nice way to relax after a hectic day of sightseeing. I would recommend riding the flyer just prior to sunset.,2017-02-01 00:00:00.000,Friends,2020-01-28 12:36:53.221,Jacklyn S,australia,Singapore Flyer,Leisure & Recreation,"30 Raffles Avenue, Singapore 039803, Singapore",great view nice way relax hectic day sightsee would recommend rid flyer prior sunset
638454670,2018-12-10 00:00:00.000,5,Beautiful garden,"I read somewhere that this is one of the 100 places in the world that we should visit in our lifetime. Indeed it is. I have been there 4 times in 2 years and never gotten sick of the place as the flowers and plants were of wide variety. Especially the flowers, there were exotic flowers imported from overseas seasonally. I always felt very energized and refreshed every time I visited the place as the air was full of ions.",2018-12-01 00:00:00.000,Family,2020-01-25 14:46:19.554,Tan L,Singapore,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",read somewhere one place world visit lifetime indeed time year never gotten sick place flower plant wide variety especially flower exotic flower import overseas seasonally always felt energize refresh every time visit place air full ion
526154534,2017-09-21 00:00:00.000,5,The Main HQ of Singapore Malls,"Orchard Road needs no further introduction, it is the go-to place if you like to shop from one mall to another._x000D_
_x000D_
Malls are side-by-side, ranging from upscale to normal looking to old (those with 70's to 80's vibe) shopping malls._x000D_
This is a must-go place for tourists and shopaholics.",2017-09-01 00:00:00.000,Solo,2020-01-30 03:18:39.300,Marvin S,Philippines,Orchard Road,Precinct & Street,"Singapore, Singapore",orchard road need introduction go place like shop one mall anotherxd xd mall side side range upscale normal look old vibe shopping mallsxd must go place tourist shopaholic
693115155,2019-07-27 00:00:00.000,5,Visit with reluctant teenage sons!,"This was one of my main reasons for visiting Singapore, so despite the heat and humidity I was determined to visit with my family. After much huffing and complaining from my youngest son, we made our way to the Gardens. It was well worth it....beautiful gardens, not too crowded to walk around and even better were the Cloud Forest and Flower Domes.....",2019-07-01 00:00:00.000,Family,2020-01-25 14:31:23.861,Lisa369,United Kingdom,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",one main reason visit singapore despite heat humidity determine visit family much huff complain young son make way garden well worth itbeautiful garden not crowd walk around even well cloud forest flower dome
520399136,2017-09-02 00:00:00.000,5,The most amazing cration,"This park has so much to do and see, the walking trials, the bridge I've to the sands hotel, the tropical plants and just everything else is just so amazing. The night shots of the trees lighting up is very cool and worth a trip at night.",2017-09-01 00:00:00.000,Solo,2020-01-25 19:26:14.748,hart277,United States,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",park much see walk trial bridge sand hotel tropical plant everything else amaze night shot tree light cool worth trip night
421640586,2016-09-24 00:00:00.000,4,Large area to walk in natural surroundings,We had a good long walk along the jungle trail and-more enjoyably-on the boardwalk along the waterside. There are 2 2 km boardwalks there and its a really nice walk. The jungle trail is on a rough terrain-just have to be a but careful when you walk early morning-it can be dark.,2016-09-01 00:00:00.000,Couples,2020-01-29 23:47:16.118,rahulrupal,Singapore,MacRitchie Nature Trail,Nature & Wildlife,"MacRitchie Reservoir Park, Singapore 298717, Singapore",good long walk along jungle trail enjoyably boardwalk along waterside km boardwalk really nice walk jungle trail rough terrain careful walk early morning dark
472979353,2017-04-06 00:00:00.000,5,Gardens by the Bay,Gardens by the Bay is a beautiful experience for an afternoon. It houses the Cloud Forest as well as other domes. It is a fabulous example of an ecosystem done right. Gardens by the Bay is a must see and experience while in Singapore.,2017-02-01 00:00:00.000,Couples,2020-01-25 18:05:00.165,JACKIECHARLOTTE,United States,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",garden bay beautiful experience afternoon house cloud forest well dome fabulous example ecosystem do right garden bay must see experience singapore
618768903,2018-09-23 00:00:00.000,5,Uniquely Singaporean,There is little I can say except that this location is a 'must-see'. One of the hidden gems of this city. Highly recommended.,2018-09-01 00:00:00.000,Couples,2020-01-29 18:21:39.597,TravellingManOz,Australia,Supertree Grove,Leisure & Recreation,"18 Marina Gardens Drive Gardens By the Bay | Gardens by the Bay, Singapore 018953, Singapore",little say except location must see one hidden gem city highly recommend
430731283,2016-10-23 00:00:00.000,4,Great Attraction.,The entry tickets are bit expensive but you get spectacular views overlooking the city and marina bay. i will recommend the night as the views of all the lights.,2016-10-01 00:00:00.000,Friends,2020-01-28 12:38:24.950,Emmerd-Els,Austria,Singapore Flyer,Leisure & Recreation,"30 Raffles Avenue, Singapore 039803, Singapore",entry ticket bit expensive get spectacular view overlook city marina bay recommend night view light
379629473,2016-06-04 00:00:00.000,4,Like to shop and spend serious money? This is for you,"Orchard Road is a shopping paradise, but only if you are armed with plenty of cash. Designer label shops are there in abundance._x000D_
_x000D_
The place is remarkably clean and safe and teeming with people until the shops close at 10pm. On a Sunday, the street is packed with people literally sitting down and chilling on their day off. If patience is not your virtue, avoid!",2016-06-01 00:00:00.000,Business,2020-01-30 03:28:29.804,Celtic_traveller165,United Kingdom,Orchard Road,Precinct & Street,"Singapore, Singapore",orchard road shopping paradise arm plenty cash designer label shop abundancexd xd place remarkably clean safe teem people shop close pm sunday street packed people literally sit chill day patience not virtue avoid
650965451,2019-02-09 00:00:00.000,5,Highlight of our Singapore trip,"For someone like me and my mom who really likes flowers, Gardens by the Bay is definitely a must visit. It gives a lot of inspiration and ideas on what flowers to plant in our own garden back home. This was the highlight of our Singapore trip last year. If you are short on time in Singapore and can only visit few tourist attractions, Gardens by the bay should be one of them. It is a very memorable experience strolling around the gardens and the supertree groves",2018-10-01 00:00:00.000,Family,2020-01-25 14:42:21.757,faecelinee,Philippines,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",someone like mom really like flower garden bay definitely must visit give lot inspiration idea flower plant garden back home highlight singapore trip last year short time singapore visit tourist attraction garden bay one memorable experience stroll around garden supertree grove
434991719,2016-11-06 00:00:00.000,5,Stunning! You MUST visit the Cloud Dome,"We spent one morning visiting the Cloud Dome, it was absolutely amazing! In our group there were various ages - children and adults, yet we all were totally mesmerised. The gorgeous plants, sculptures, gardens and the amazing Waterfall! Even non-garden lovers would love this. The views are spectacular from the top level.",2016-10-01 00:00:00.000,Friends,2020-01-29 13:05:04.348,Mel_Cat75,Australia,Cloud Forest,Leisure & Recreation,"18 Marina Gardens Drive | 18 Marina Gardens Drive, Singapore 018953, Singapore",spent one morning visit cloud dome absolutely amaze group various age child adult yet totally mesmerise gorgeous plant sculpture garden amaze waterfall even non garden lover would love view spectacular top level
416908501,2016-09-11 00:00:00.000,5,Beautiful waterfall,Massive waterfall on entry. Beautiful experience walking the millions of plants and structures. Beautiful scenery as you walk through the levels.,2016-09-01 00:00:00.000,Couples,2020-01-29 12:34:29.650,Nancy A,Australia,Cloud Forest,Leisure & Recreation,"18 Marina Gardens Drive | 18 Marina Gardens Drive, Singapore 018953, Singapore",massive waterfall entry beautiful experience walk million plant structure beautiful scenery walk level
538981834,2017-11-07 00:00:00.000,4,Great place for a day and night visit,"Start with a walk in the gardens in the morning, those with kids can visit the Far East Organization's Children's garden, where you can find a playground and water park (hidden gem!) and head to the air-conditioned Flower Dome/ Cloud Forest later in the afternoon when it gets hot. A good place for lunch will be Pollen or the Peach Garden Noodle House, or just good ol' Macdonalds for those with kids! For the later part of the evening, head to Satay by the Bay for delicious skewered meats or dine at Majestic Bay Seafood restaurant. When it gets dark, head to the Supertree Grove and walk atop on the OCBC Skyway (not for those with height phobia though!)",2017-10-01 00:00:00.000,Family,2020-01-25 15:17:57.781,AngelineSingapore,Singapore,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",start walk garden morning kid visit far east organization childrens garden find playground water park hidden gem head air condition flower dome cloud forest later afternoon get hot good place lunch pollen peach garden noodle house good ol macdonalds kid later part even head satay bay delicious skewer meat dine majestic bay seafood restaurant get dark head supertree grove walk atop ocbc skyway not height phobia though
359004329,2016-03-27 00:00:00.000,5,Interesting and friendly,"Visited today. Impressed by the friendliness of everyone, duty welcoming. Interesting exhibits and a beautiful roof garden. Spent just under an hour exploring the 4 floors.",2016-03-01 00:00:00.000,Couples,2020-01-30 00:14:21.481,Suzy_3377,United Kingdom,Buddha Tooth Relic Temple and Museum,"Art, History & Culture","288 South Bridge Road, Singapore 058840, Singapore",visit today impressed friendliness everyone duty welcome interest exhibit beautiful roof garden spent hour explore floor
412339052,2016-08-29 00:00:00.000,5,Amazing place,"Its Gallery which is a place converted from Singapore Supreme court, its like Gallery with the theme. When you keep on Walking, you see Barracks where at early times Culprits were kept. and Gallery rooms are court rooms, Amazing architecture. Thanks for the Free guide",2016-06-01 00:00:00.000,Family,2020-01-30 13:07:30.370,Vikrant0308,India,National Gallery Singapore,"Art, History & Culture","1 St. Andrew's Road #01-01 National Gallery Singapore, Singapore 178957, Singapore",gallery place convert singapore supreme court like gallery theme keep walk see barrack early time culprit kept gallery room court room amaze architecture thanks free guide
386039740,2016-06-26 00:00:00.000,5,Amazing plave,This is a place that is well worth a visit or two. Don't miss the light and sound show at 7.45pm or 8.45pm. The Super Trees are impressive during the day and mesmerising at night.,2016-06-01 00:00:00.000,Couples,2020-01-25 18:43:30.068,Mayerka,Australia,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",place well worth visit two dont miss light sound show pm pm super tree impressive day mesmerise night
608796584,2018-08-21 00:00:00.000,4,Worth a look,"The hotel and view from the top is exceptional. It costs about $20 USD, which is worth it. However, you are not allowed to go to the whole skypark unless you are staying at the hotel. If you aren't, they only allow you to be on the small deck viewing area.",2018-08-01 00:00:00.000,Solo,2020-01-29 14:09:21.508,PachetePockets,China,Marina Bay Sands Skypark,Leisure & Recreation,"10 Bayfront Avenue | Level 57, Marina Bay Sands Hotel, Singapore 018956, Singapore",hotel view top exceptional cost usd worth however not allow go whole skypark unless stay hotel not allow small deck view area
440141416,2016-11-26 00:00:00.000,3,Merlion location,"Part of the city tour, a bit average to be honest. Full of people that use selfy sticks... should be banned!",2016-11-01 00:00:00.000,Couples,2020-01-30 06:30:40.223,VIVODublin_Ireland,Ireland,Waterfront Promenade,Leisure & Recreation,"Singapore, Singapore",part city tour bit average honest full people use selfy stick ban
368185679,2016-04-27 00:00:00.000,5,ðŸ˜,I have never seen so many orchids in my life. Almost every species there is and other man made. It is a walk to get there but worth it.,2016-04-01 00:00:00.000,Solo,2020-01-29 11:15:46.764,ArlosL,United States,National Orchid Garden,Leisure & Recreation,"1 Cluny Rd | Within the Singapore Botanic Gardens, Singapore 259569, Singapore",never see many orchid life almost every specie man make walk get worth
607537587,2018-08-18 00:00:00.000,5,Perfectly combined line and waltz show,"For a free attraction you donâ€™t often expect much however this is honestly the best ever light and music show Iâ€™ve ever seen, it was truest remarkable._x000D_
_x000D_
From what I understand the music and theme changes periodically and when we went the lights were dancing to classic waltz music._x000D_
_x000D_
The trees without the lights are impressive but come to life at nighttime for the show._x000D_
_x000D_
The synergy was beautiful and breathtaking.",2018-08-01 00:00:00.000,Couples,2020-01-29 18:22:15.108,Kslade86,United Kingdom,Supertree Grove,Leisure & Recreation,"18 Marina Gardens Drive Gardens By the Bay | Gardens by the Bay, Singapore 018953, Singapore",free attraction donatmt often expect much however honestly best ever light music show iatmve ever see truest remarkablexd xd understand music theme change periodically go light dance classic waltz musicxd xd tree without light impressive come life nighttime showxd xd synergy beautiful breathtaking
455903189,2017-01-30 00:00:00.000,5,High in the mountains,"The Cloud Forest simulates the mountainous regions and allows one to experience what it feels like high in the mountains as well as see the kind of flora and fauna that is indigenous to that area._x000D_
_x000D_
The larger of the two domes in Gardens by the Bay, the climate controlled Cloud Forest boasts the tallest indoor waterfall that greets you at the entrance._x000D_
_x000D_
Start your exploration in the Cloud Forest by taking the lift up and then walk down the spiraling walkways to admire the types of plants that can be found at various altitudes on a mountain._x000D_
_x000D_
Great adventure for the kids and young at heart with quite a bit of walking though it could be done at a leisurely pace.",2016-11-01 00:00:00.000,Friends,2020-01-29 13:04:00.154,dynamic14,Singapore,Cloud Forest,Leisure & Recreation,"18 Marina Gardens Drive | 18 Marina Gardens Drive, Singapore 018953, Singapore",cloud forest simulates mountainous region allows one experience feel like high mountain well see kind flora fauna indigenous areaxd xd large two dome garden bay climate control cloud forest boast tallest indoor waterfall greets entrancexd xd start exploration cloud forest take lift walk spiral walkway admire type plant found various altitude mountainxd xd great adventure kid young heart quite bit walk though could do leisurely pace
