Unnamed: 0,REVIEW_INDEX,REVIEW_DATE,REVIEW_RATING,REVIEW_TITLE,REVIEW_BODY,DATE_OF_EXPERIENCE,TRIP_TYPE,REVIEW_CRAWLED_TIME,REVIEWER_NAME,HOME_COUNTRY,ATTRACTION_NAME,ATTRACTION_TYPE,ADDRESS,clean_text,Topic
63409,604791446,2018-08-10 00:00:00.000,5,Sichuan food in Chinatown,"We went to a restaurant halfway along temple street Chilli fish, chilli chicken, garlic cucumber, shredded chilli potatoes some of my favourite dishes Nice cold glass of tsingtao beer Ã°Å¸ËœÅ  If you like spicy food add to your to do list",2018-08-01 00:00:00.000,Friends,2020-01-30 12:53:15.969,garywB3196NN,United Kingdom,Chinatown,Precinct & Street,"Crot | Trengganu, Singapore 048942, Singapore",go restaurant halfway along temple street chilli fish chilli chicken garlic cucumber shred chilli potato favourite dish nice cold glass tsingtao beer like spicy food add list,Shopping and Restaurant
75700,339831768,2016-01-14 00:00:00.000,5,Dining adventures,"we spend half day to explore the place with many choice of restaurant, Cafe and Bars._x000D_
tried many culinary from local dish to international menu. price are very reasonable and it just a walking distance from many hotels surrounding. take a boat to have river cruise during daytime.",2016-01-01 00:00:00.000,Couples,2020-01-30 01:26:04.976,FRANCORAYS,Indonesia,Clarke Quay,Precinct & Street,"3 River Valley Road Clarke Quay | Nearest Train Stattion: NE5 Clarke Quay MRT and DT20 Fort Canning Station, Singapore 179019, Singapore",spend half day explore place many choice restaurant cafe barsxd try many culinary local dish international menu price reasonable walk distance many hotel surround take boat river cruise daytime,Shopping and Restaurant
4291,670891871,2019-05-02 00:00:00.000,5,Cool and Picturesque waterfalls,This is a great place to visit. They have tram services inside and also it is completely mind blowing. Good artificial waterfalls that makes you relaxed,2019-04-01 00:00:00.000,Family,2020-01-29 11:32:21.766,ndusha,India,Cloud Forest,Leisure & Recreation,"18 Marina Gardens Drive | 18 Marina Gardens Drive, Singapore 018953, Singapore",great place visit tram service inside also completely mind blowing good artificial waterfall make relaxed,Garden Tour
45951,414740711,2016-09-05 00:00:00.000,5,Not a penny spent for a magical experience,"We went at night to see the light show, as backpackers in Singapore we were on a tight budget and this was free!",2016-09-01 00:00:00.000,Couples,2020-01-25 18:34:54.813,Sarah C,United Kingdom,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",go night see light show backpacker singapore tight budget free,Garden Tour
101104,405444749,2016-08-15 00:00:00.000,5,Nice visit on rainy July day,"Visited this Temple in late July and what a beautiful Temple. The colours are rich and vibrant and the space is quite large. I felt kind of strange taking photos as there were many people worshipping, but the results were quite please. Highly recommended if you find yourself in the Chinatoen area of Singapore.",2016-07-01 00:00:00.000,Solo,2020-01-30 00:19:55.892,StirlingB,Canada,Buddha Tooth Relic Temple and Museum,"Art, History & Culture","288 South Bridge Road, Singapore 058840, Singapore",visit temple late july beautiful temple colour rich vibrant space quite large felt kind strange take photo many people worship result quite please highly recommend find chinatoen area singapore,Artwork Quality
40936,444153791,2016-12-14 00:00:00.000,5,Wonderful evening spectacle,"We visited the Gardens during the Christmas period, enjoyable music and light show. Can get busy but well worth the visit. One of the best locations I have visited and is rather cheap.",2016-12-01 00:00:00.000,Family,2020-01-25 15:49:58.592,MB_9414,United Kingdom,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",visit garden christmas period enjoyable music light show get busy well worth visit one best location visit rather cheap,Garden Tour
68665,475519810,2017-04-14 00:00:00.000,4,Great markets,We came here to see the temples and was welcomed by the buzz of the markets. It was a great atmosphere and all the people were friendly. Temples are beautiful and a must see.,2017-04-01 00:00:00.000,Couples,2020-01-30 12:16:41.807,ShelleyOC88,United Kingdom,Chinatown,Precinct & Street,"Crot | Trengganu, Singapore 048942, Singapore",come see temple welcome buzz market great atmosphere people friendly temple beautiful must see,Shopping and Restaurant
88640,378864956,2016-06-02 00:00:00.000,5,Must see in Singapore,"I got off at the wrong stop, and had to walk on the road for quite a while, so I would advice to check and make sure you know exactly where to get off. I see it is very convenient for cars to park or taxis to stop at the different spots as well. There are also bus stops near the Henderson Wave and Alexander Road. It is actually quite near to Sentosa and Universal Studios._x000D_
I started at the Henderson Wave, a very nice big bridge made of wood that oversee the city. It is very relaxing and calm to be on top. There are a lot of shaded sitting area. I mostly see locals and families there. There are also some tourists, but not a lot._x000D_
I walked through the Forest walk afterwards, and it was very quiet. I probably saw an amount of less than 10 people during my walk. I arrived at the Alexander bridge, which is less impressive than the Henderson Waves, mostly because of it's length and height._x000D_
I would advice to bring water and a hat, because it is quite sunny and there are not a lot of shades. Don't believe the time it says the walk takes. The Forest Walk said it takes 15 minutes, unless you are running, I don't think anyone would make it in that time. I enjoyed my walk a lot, and I think is great to be able to see so much nature in the city center. A lot of the attractions in Singapore requires admission fee, this doesn't and I think even if it does, it will still be worth it.",2016-06-01 00:00:00.000,Solo,2020-01-30 05:27:11.218,VeraChiu21,China,The Southern Ridges,Nature & Wildlife,"Alexandra Road | Mount Faber Park; Telok Blangah Hill Park; or Kent Ridge Park, Singapore 099203, Singapore",get wrong stop walk road quite would advice check make sure know exactly get see convenient car park taxi stop different spot well also bus stop near henderson wave alexander road actually quite near sentosa universal studiosxd start henderson wave nice big bridge make wood oversee city relax calm top lot shade sit area mostly see local family also tourist not lotxd walk forest walk afterwards quiet probably saw amount less people walk arrive alexander bridge less impressive henderson wave mostly length heightxd would advice bring water hat quite sunny not lot shade dont believe time say walk take forest walk say take minute unless run not think anyone would make time enjoy walk lot think great able see much nature city center lot attraction singapore require admission fee not think even still worth,Interaction with Animals
31234,492015280,2017-06-11 00:00:00.000,5,Only a short amount of time,Was using the hop on hop off bus. Got off here for a wander around the gardens. Didn't really do it justice as we were on a tightish time frame. Really enjoyed what we saw during the time we were there. A fantastic space for this city.,2017-06-01 00:00:00.000,Couples,2020-01-26 10:31:22.653,trude345,New Zealand,Singapore Botanic Gardens,Leisure & Recreation,"1 Cluny Road, Singapore 259 569, Singapore",use hop hop bus get wander around garden didnt really justice tightish time frame really enjoy saw time fantastic space city,Garden Tour
95624,547499942,2017-12-16 00:00:00.000,4,Temple in heart of Little India,This legendary temple is in heart of Little India at Serangoon Road. Very beautiful architecture and is always crowded with people.,2017-10-01 00:00:00.000,Business,2020-01-31 17:03:04.415,Anand2107,India,Sri Veeramakaliamman Temple,"Art, History & Culture","141 Serangoon Road, Singapore 218042, Singapore",legendary temple heart little india serangoon road beautiful architecture always crowd people,Artwork Quality
30955,493998672,2017-06-18 00:00:00.000,4,Good views of the Island,We took cable car to enter Sentosa Island. It was a package trip which covered both Mount Faber Line and Sentosa Line. Breathtaking views from the cable car. Not much crowded unlike other attractions in Sentosa.,2017-06-01 00:00:00.000,Family,2020-01-29 19:01:52.103,Asit_Verma,India,Singapore Cable Car,Leisure & Recreation,"109 Mount Faber Road Faber Peak, Singapore 099203, Singapore",take cable car enter sentosa island package trip cover mount faber line sentosa line breathtaking view cable car not much crowd unlike attraction sentosa,Transportation and Tickets
36315,466164395,2017-03-11 00:00:00.000,5,Best place ever,"I live 10mins away from the gardens, so we take our young kids there frequently. Can spend half day there walking and playing. Kids live the open space, it's save as they cannot scape to any roads. The rainforest walk is staggering!",2017-02-01 00:00:00.000,Family,2020-01-26 09:58:11.593,carlosg301,Singapore,Singapore Botanic Gardens,Leisure & Recreation,"1 Cluny Road, Singapore 259 569, Singapore",live min away garden take young kid frequently spend half day walk play kid live open space save can not scape road rainforest walk stagger,Garden Tour
98966,458217812,2017-02-09 00:00:00.000,5,Fascinating place to visit,"We thoroughly enjoyed our visit to Battlebox this week. Jerome gave us a fascinating tour, which was very informative and demonstrated his passion and knowledge of the bunker and the history behind it. The bunker was more extensive than we realised and the scenes created in some of the rooms brought its history to life. Would highly recommend a visit.",2017-02-01 00:00:00.000,Couples,2020-01-30 04:47:35.218,Elizabeth-A-C,United Kingdom,Battlebox,"Art, History & Culture","2 Cox Terrace | Fort Canning Park, Singapore 179622, Singapore",thoroughly enjoy visit battlebox week jerome give u fascinate tour informative demonstrate passion knowledge bunker history behind bunker extensive realise scene create room brought history life would highly recommend visit,Artwork Quality
96606,520398858,2017-09-02 00:00:00.000,4,Beautiful temple in little india,"Stay ran down the street from this place and even know I couldn't go in at the time, it is a very cool looking temple.",2017-09-01 00:00:00.000,Solo,2020-01-31 17:02:23.755,hart277,United States,Sri Veeramakaliamman Temple,"Art, History & Culture","141 Serangoon Road, Singapore 218042, Singapore",stay ran street place even know could not go time cool look temple,Artwork Quality
100836,415557339,2016-09-07 00:00:00.000,5,Don't need kids,"What a cool place. Although very expensive, we feel we got our money's worth. Two awesome displays - one that wa kid oriented but very adult friendly. I learned a lot and it was very cool. I also really liked the big data exhibit - I only wish you could_x000D_
Purchase the information they used. A remarkable day and very exciting - so_x000D_
Glad we went.",2016-09-01 00:00:00.000,Couples,2020-01-30 14:06:41.921,Tanksmon,United States,ArtScience Museum at Marina Bay Sands,"Art, History & Culture","10 Bayfront Avenue Marina Bay Sands, Singapore 018956, Singapore",cool place although expensive feel get money worth two awesome display one wa kid orient adult friendly learn lot cool also really like big data exhibit wish couldxd purchase information use remarkable day excite soxd glad go,Artwork Quality
95382,553312717,2018-01-12 00:00:00.000,5,Amazing! Kids LOVED it.,"We needed something to do on a rainy day with our 10, 7 and two 5 year olds and came to the Museum almost by chance. As luck would have it, is was a Friday and up to four children enter free with one paying adult. We therefore decided to visit both the Futureworlds and the National Treasures exhibit. The kids were totally entranced by the Futureworld exhibit. We spent over 2 hours in there and had to drag the kids away for lunch. The installations are very interactive and pitched at children 4-12. A lot of the exhibition involves colouring in drawings which the kids can then scan. The drawings then become part of the installation. The kids were fascinated by this and did dozens of drawings. The other installations are also very appealing to children. Each exhibit is one-time entry only, so after finishing Future World we went to the nearby Food Court at Marina Bay Sands for lunch (a few minutes walk). As luck would have it we returned just before 3pm when there was a free guided tour of the Natural Treasures exhibit. The guide was excellent and because it was ""Family Friday"" pitched the tour at the kids. It was very interesting and informative. The tour took about 45 minutes and then we spent a further 15 minutes looking at the exhibits. We may return another day to do the free ""Into the Wild Tour"". (Looked like it involved some sort of tablet device). We would definitely recommend the Museum for families with young children (especially on Family Friday).",2018-01-01 00:00:00.000,Family,2020-01-30 14:01:02.826,CastlecragCouple,Australia,ArtScience Museum at Marina Bay Sands,"Art, History & Culture","10 Bayfront Avenue Marina Bay Sands, Singapore 018956, Singapore",need something rainy day two year old come museum almost chance luck would friday four child enter free one pay adult therefore decide visit futureworlds national treasure exhibit kid totally entrance futureworld exhibit spent hour drag kid away lunch installation interactive pitch child lot exhibition involves colour drawing kid scan drawing become part installation kid fascinate dozen drawing installation also appeal child exhibit one time entry finish future world go nearby food court marina bay sand lunch minute walk luck would return pm free guide tour natural treasure exhibit guide excellent family friday pitch tour kid interest informative tour take minute spent minute look exhibit may return another day free wild tour look like involve sort tablet device would definitely recommend museum family young child especially family friday,Artwork Quality
39231,452505964,2017-01-17 00:00:00.000,5,Sightseeing,You can see Singapore view from up here.. The most suitable time to visit is around 6pm so you can see day and night view from up there..,2017-01-01 00:00:00.000,Couples,2020-01-29 13:55:31.325,Vrikasia,Indonesia,Marina Bay Sands Skypark,Leisure & Recreation,"10 Bayfront Avenue | Level 57, Marina Bay Sands Hotel, Singapore 018956, Singapore",see singapore view suitable time visit around pm see day night view,Garden Tour
70844,437700706,2016-11-16 00:00:00.000,4,Great place for food and culture,"This is a place that serves the best bakuteh, zhichar and desserts. Plenty to see! Both day and night are great.",2016-11-01 00:00:00.000,Friends,2020-01-30 13:00:28.690,hansen0478,Singapore,Chinatown,Precinct & Street,"Crot | Trengganu, Singapore 048942, Singapore",place serf best bakuteh zhichar dessert plenty see day night great,Shopping and Restaurant
2523,688649326,2019-07-11 00:00:00.000,5,Such a beautiful display of flowers and plants.,What a beautiful way to spend the day and so worth the cost of admission. Unfortunately the Cloud Forest Dome was closed for maintenance but still had a fantastic experience in the other areas. The Floral Fantasy display was beautifully done. Take the time to go up on the OCBC skywalk to get stunning views of the gardens and Singapore. The exhibits in the Flower Dome this month was Rose Romance Floral and it was just beautiful. There are some many small gardens and sculptures to see. Many good places for a yummy meal too. The gardens are beautiful at night too as they are lit up. Highly recommend a trip here when in Singapore.,2019-06-01 00:00:00.000,Solo,2020-01-25 19:11:51.157,A7485BWsueh,United States,Gardens by the Bay,Leisure & Recreation,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",beautiful way spend day worth cost admission unfortunately cloud forest dome close maintenance still fantastic experience area floral fantasy display beautifully do take time go ocbc skywalk get stun view garden singapore exhibit flower dome month rise romance floral beautiful many small garden sculpture see many good place yummy meal garden beautiful night lit highly recommend trip singapore,Garden Tour
77518,650274336,2019-02-05 00:00:00.000,5,full day out,the good - the zoo is world class the bad - dont waste your cash on the tram - hop on an off is not viable as the Que at each stop can take half an hour to get your ride,2019-01-01 00:00:00.000,Couples,2020-01-26 12:31:41.427,janmaypa,United Kingdom,Singapore Zoo,Nature & Wildlife,"80 Mandai Lake Road, Singapore 729826, Singapore",good zoo world class bad dont waste cash tram hop not viable que stop take half hour get ride,Interaction with Animals
